id,title,difficulty,level,topic,platform,statement,description,input_format,output_format,constraints,sample_input,sample_output,sample_explanation,time_limit_ms,memory_limit_mb,submissions,acceptance_rate,updated_at,kind,family
P00519,Rotate Array by 1 - Medium #2076,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, rotate it by 1 positions to the right.",Practice array manipulation: rotate array.,First line: n = 8. Second line: 8 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","12 1
63 66 39 83 50 46 10 36 60 16 4 1",1 63 66 39 83 50 46 10 36 60 16 4,Rotate the array right by 1. (problem P00519),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00520,Find Minimum in Array - Medium #2080,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 12. Second line: 12 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","10
6 50 11 76 36 55 94 59 36 26",6,"The minimum value in [6, 50, 11, 76, 36, 55, 94, 59, 36, 26] is 6. (problem P00520)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00521,Max Subarray Sum (Window 2) - Medium #2084,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 16. Second line: 16 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","10 3
44 70 4 95 35 18 64 2 87 69",169,Scan all subarrays of size 3. (problem P00521),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00522,Sum of Array Elements - Medium #2088,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 8. Second line: 8 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","9
15 85 60 40 8 19 29 18 91",365,Add all elements: 365. (problem P00522),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00523,Swap Elements in Array - Medium #2092,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, swap elements at indices 4 and 8 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 12. Second line: 12 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","7
15 12 82 11 88 49 82",15 12 11 82 88 49 82,Swap values at indices 2 and 3. (problem P00523),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00524,Reverse an Array - Medium #2096,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 16. Second line: 16 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","7
69 80 49 84 28 67 76",76 67 28 84 49 80 69,Reverse the order of the elements. (problem P00524),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00525,Find Maximum in Array - Medium #2100,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","7
72 6 91 46 18 39 94",94,"The maximum value in [72, 6, 91, 46, 18, 39, 94] is 94. (problem P00525)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00526,Rotate Array by 2 - Medium #2104,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 12. Second line: 12 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","5 1
47 78 82 43 28",28 47 78 82 43,Rotate the array right by 1. (problem P00526),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00527,Find Minimum in Array - Medium #2108,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 16. Second line: 16 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","7
30 98 89 89 28 13 14",13,"The minimum value in [30, 98, 89, 89, 28, 13, 14] is 13. (problem P00527)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00528,Max Subarray Sum (Window 2) - Medium #2112,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","10 3
21 82 40 21 91 68 6 54 8 50",180,Scan all subarrays of size 3. (problem P00528),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00529,Sum of Array Elements - Medium #2116,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 12. Second line: 12 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","9
6 59 13 36 97 33 81 87 35",447,Add all elements: 447. (problem P00529),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00530,Swap Elements in Array - Medium #2120,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, swap elements at indices 8 and 0 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 16. Second line: 16 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","6
37 1 75 81 72 75",37 1 75 81 72 75,Swap values at indices 2 and 5. (problem P00530),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00531,Reverse an Array - Medium #2124,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 8. Second line: 8 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","5
37 78 70 7 87",87 7 70 78 37,Reverse the order of the elements. (problem P00531),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00532,Find Maximum in Array - Medium #2128,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","10
4 84 41 96 90 88 47 59 53 1",96,"The maximum value in [4, 84, 41, 96, 90, 88, 47, 59, 53, 1] is 96. (problem P00532)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00533,Rotate Array by 3 - Medium #2132,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 16. Second line: 16 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","9 5
49 92 93 56 24 4 12 28 18",24 4 12 28 18 49 92 93 56,Rotate the array right by 5. (problem P00533),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00534,Find Minimum in Array - Medium #2136,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 8. Second line: 8 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","12
34 90 20 54 41 32 22 65 15 86 70 87",15,"The minimum value in [34, 90, 20, 54, 41, 32, 22, 65, 15, 86, 70, 87] is 15. (problem P00534)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00535,Max Subarray Sum (Window 2) - Medium #2140,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","7 4
26 64 97 54 26 62 87",241,Scan all subarrays of size 4. (problem P00535),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00536,Sum of Array Elements - Medium #2144,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 16. Second line: 16 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","9
89 57 68 74 42 87 11 76 25",529,Add all elements: 529. (problem P00536),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00537,Swap Elements in Array - Medium #2148,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, swap elements at indices 4 and 0 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 8. Second line: 8 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","6
54 89 20 19 44 59",20 89 54 19 44 59,Swap values at indices 0 and 2. (problem P00537),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00538,Reverse an Array - Medium #2152,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 12. Second line: 12 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6
27 67 18 66 70 48",48 70 66 18 67 27,Reverse the order of the elements. (problem P00538),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00539,Find Maximum in Array - Medium #2156,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 16. Second line: 16 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","6
42 62 60 44 59 35",62,"The maximum value in [42, 62, 60, 44, 59, 35] is 62. (problem P00539)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00540,Rotate Array by 1 - Medium #2160,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, rotate it by 1 positions to the right.",Practice array manipulation: rotate array.,First line: n = 8. Second line: 8 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6 3
61 28 92 44 62 35",44 62 35 61 28 92,Rotate the array right by 3. (problem P00540),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00541,Find Minimum in Array - Medium #2164,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 12. Second line: 12 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","10
41 81 45 4 59 19 59 78 11 69",4,"The minimum value in [41, 81, 45, 4, 59, 19, 59, 78, 11, 69] is 4. (problem P00541)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00542,Max Subarray Sum (Window 2) - Medium #2168,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 16. Second line: 16 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","12 3
77 76 75 14 33 36 85 83 15 9 62 16",228,Scan all subarrays of size 3. (problem P00542),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00543,Sum of Array Elements - Medium #2172,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 8. Second line: 8 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","10
90 13 69 44 10 1 21 41 65 94",448,Add all elements: 448. (problem P00543),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00544,Swap Elements in Array - Medium #2176,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, swap elements at indices 4 and 8 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 12. Second line: 12 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","5
88 5 70 51 86",88 86 70 51 5,Swap values at indices 1 and 4. (problem P00544),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00545,Reverse an Array - Medium #2180,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 16. Second line: 16 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","7
46 11 99 69 13 75 99",99 75 13 69 99 11 46,Reverse the order of the elements. (problem P00545),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00546,Find Maximum in Array - Medium #2184,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","5
53 69 82 74 20",82,"The maximum value in [53, 69, 82, 74, 20] is 82. (problem P00546)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00547,Rotate Array by 2 - Medium #2188,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 12. Second line: 12 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6 2
20 64 78 92 95 24",95 24 20 64 78 92,Rotate the array right by 2. (problem P00547),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00548,Find Minimum in Array - Medium #2192,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 16. Second line: 16 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","5
27 4 6 58 9",4,"The minimum value in [27, 4, 6, 58, 9] is 4. (problem P00548)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00549,Max Subarray Sum (Window 2) - Medium #2196,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","9 5
11 22 7 50 14 16 97 67 72",266,Scan all subarrays of size 5. (problem P00549),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00550,Sum of Array Elements - Medium #2200,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 12. Second line: 12 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","11
44 11 13 73 91 84 56 50 7 98 98",625,Add all elements: 625. (problem P00550),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00551,Swap Elements in Array - Medium #2204,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, swap elements at indices 12 and 8 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 16. Second line: 16 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","10
59 2 73 26 11 14 79 45 7 26",73 2 59 26 11 14 79 45 7 26,Swap values at indices 0 and 2. (problem P00551),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00552,Reverse an Array - Medium #2208,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 8. Second line: 8 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","12
24 97 75 18 15 1 73 63 55 1 1 92",92 1 1 55 63 73 1 15 18 75 97 24,Reverse the order of the elements. (problem P00552),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00553,Find Maximum in Array - Medium #2212,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","10
36 84 68 77 35 31 31 84 23 99",99,"The maximum value in [36, 84, 68, 77, 35, 31, 31, 84, 23, 99] is 99. (problem P00553)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00554,Rotate Array by 3 - Medium #2216,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 16. Second line: 16 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6 3
25 47 16 1 76 67",1 76 67 25 47 16,Rotate the array right by 3. (problem P00554),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00555,Find Minimum in Array - Medium #2220,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 8. Second line: 8 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","7
46 32 58 32 92 65 94",32,"The minimum value in [46, 32, 58, 32, 92, 65, 94] is 32. (problem P00555)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00556,Max Subarray Sum (Window 2) - Medium #2224,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","7 5
53 4 96 48 12 41 9",213,Scan all subarrays of size 5. (problem P00556),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00557,Sum of Array Elements - Medium #2228,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 16. Second line: 16 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","10
57 47 81 89 62 78 56 91 62 77",700,Add all elements: 700. (problem P00557),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00558,Swap Elements in Array - Medium #2232,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, swap elements at indices 0 and 0 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 8. Second line: 8 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","9
56 92 5 45 86 44 74 71 39",56 92 44 45 86 5 74 71 39,Swap values at indices 2 and 5. (problem P00558),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00559,Reverse an Array - Medium #2236,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 12. Second line: 12 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6
13 23 41 86 97 9",9 97 86 41 23 13,Reverse the order of the elements. (problem P00559),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00560,Find Maximum in Array - Medium #2240,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 16. Second line: 16 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","9
63 23 83 10 34 49 38 33 20",83,"The maximum value in [63, 23, 83, 10, 34, 49, 38, 33, 20] is 83. (problem P00560)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00561,Rotate Array by 1 - Medium #2244,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, rotate it by 1 positions to the right.",Practice array manipulation: rotate array.,First line: n = 8. Second line: 8 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","9 7
54 22 29 78 57 41 53 3 21",29 78 57 41 53 3 21 54 22,Rotate the array right by 7. (problem P00561),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00562,Find Minimum in Array - Medium #2248,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 12. Second line: 12 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","7
19 67 9 65 86 99 19",9,"The minimum value in [19, 67, 9, 65, 86, 99, 19] is 9. (problem P00562)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00563,Max Subarray Sum (Window 2) - Medium #2252,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 16. Second line: 16 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","6 5
76 83 36 7 89 64",291,Scan all subarrays of size 5. (problem P00563),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00564,Sum of Array Elements - Medium #2256,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 8. Second line: 8 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","6
92 55 58 23 35 48",311,Add all elements: 311. (problem P00564),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00565,Swap Elements in Array - Medium #2260,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, swap elements at indices 4 and 8 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 12. Second line: 12 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","10
48 39 91 88 81 92 23 87 2 93",87 39 91 88 81 92 23 48 2 93,Swap values at indices 0 and 7. (problem P00565),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00566,Reverse an Array - Medium #2264,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 16. Second line: 16 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","10
30 13 18 90 8 81 77 63 27 4",4 27 63 77 81 8 90 18 13 30,Reverse the order of the elements. (problem P00566),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00567,Find Maximum in Array - Medium #2268,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","12
8 62 53 78 45 67 94 93 9 27 86 12",94,"The maximum value in [8, 62, 53, 78, 45, 67, 94, 93, 9, 27, 86, 12] is 94. (problem P00567)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00568,Rotate Array by 2 - Medium #2272,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 12. Second line: 12 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","10 7
71 58 55 35 59 76 27 93 8 50",35 59 76 27 93 8 50 71 58 55,Rotate the array right by 7. (problem P00568),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00569,Find Minimum in Array - Medium #2276,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 16. Second line: 16 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","8
85 99 93 44 51 78 14 25",14,"The minimum value in [85, 99, 93, 44, 51, 78, 14, 25] is 14. (problem P00569)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00570,Max Subarray Sum (Window 2) - Medium #2280,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 8. Second line: 8 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","7 5
48 7 73 40 90 97 58",358,Scan all subarrays of size 5. (problem P00570),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00571,Sum of Array Elements - Medium #2284,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 12. Second line: 12 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 1000
1 <= array elements <= 1000","5
64 19 75 43 85",286,Add all elements: 286. (problem P00571),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00572,Swap Elements in Array - Medium #2288,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, swap elements at indices 0 and 0 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 16. Second line: 16 space-separated integers.,Print the array after swapping.,"1 <= n <= 1000
1 <= array elements <= 1000","11
33 77 63 33 21 18 54 65 24 50 19",33 77 18 33 21 63 54 65 24 50 19,Swap values at indices 2 and 5. (problem P00572),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00573,Reverse an Array - Medium #2292,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 8. Second line: 8 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","6
43 29 90 86 26 95",95 26 86 90 29 43,Reverse the order of the elements. (problem P00573),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00574,Find Maximum in Array - Medium #2296,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","12
12 88 54 18 5 86 87 9 22 85 29 48",88,"The maximum value in [12, 88, 54, 18, 5, 86, 87, 9, 22, 85, 29, 48] is 88. (problem P00574)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00575,Rotate Array by 3 - Medium #2300,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 16 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 16. Second line: 16 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 1000
1 <= array elements <= 1000","5 2
96 48 81 79 56",79 56 96 48 81,Rotate the array right by 2. (problem P00575),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00576,Find Minimum in Array - Medium #2304,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 8 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 8. Second line: 8 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 1000
1 <= array elements <= 1000","6
95 39 56 64 11 36",11,"The minimum value in [95, 39, 56, 64, 11, 36] is 11. (problem P00576)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
P00577,Max Subarray Sum (Window 2) - Medium #2308,Medium,Intermediate,"[""Arrays""]",CodingStar,"Given an array of 12 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 1000
1 <= array elements <= 1000","9 3
36 77 79 57 92 6 54 31 9",228,Scan all subarrays of size 3. (problem P00577),2000,256,0,,2026-05-21T12:12:20Z,algorithm,arrays
