id,problem_id,input_data,expected_output,is_sample,explanation
P01402_TC2,P01402,38 24 23 40 2 16 18 25,186,False,Additional variant testcase for P01402.
P01402_TC3,P01402,26 15 38 4 49 4 14 36 9,49,False,Additional variant testcase for P01402.
P01403_TC1,P01403,"""11
6 39 58 36 56 85 7 11 32 56 85""",6 39 58 36 56 85 7 11 32 56 85,True,Use basic array traversal. (problem P01403)
P01403_TC2,P01403,38 48 14 10 36 32 6 10,194,False,Additional variant testcase for P01403.
P01403_TC3,P01403,43 8 33 6 15 14 15 32 27,43,False,Additional variant testcase for P01403.
P01404_TC1,P01404,"""6
83 72 17 70 52 6""",83 72 17 70 52 6,True,Use basic array traversal. (problem P01404)
P01404_TC2,P01404,12 47 37 29 25 35 33 15,233,False,Additional variant testcase for P01404.
P01404_TC3,P01404,27 5 2 13 39 8 20 31 13,39,False,Additional variant testcase for P01404.
P01405_TC1,P01405,"""7
75 78 56 72 37 27 65""",75 78 56 72 37 27 65,True,Use basic array traversal. (problem P01405)
P01405_TC2,P01405,1 4 46 8 49 11 22 5,146,False,Additional variant testcase for P01405.
P01405_TC3,P01405,43 30 44 47 37 2 34 9 13,47,False,Additional variant testcase for P01405.
P01406_TC1,P01406,"""5
35 91 58 86 95""",35 91 58 86 95,True,Use basic array traversal. (problem P01406)
P01406_TC2,P01406,5 50 13 40 46 42 22 5,223,False,Additional variant testcase for P01406.
P01406_TC3,P01406,26 2 32 37 37 29 42 5 29,42,False,Additional variant testcase for P01406.
P01407_TC1,P01407,"""9
26 43 1 98 81 88 11 60 56""",26 43 1 98 81 88 11 60 56,True,Use basic array traversal. (problem P01407)
P01407_TC2,P01407,30 1 20 9 50 35 23 14,182,False,Additional variant testcase for P01407.
P01407_TC3,P01407,44 40 12 12 48 8 35 31 15,48,False,Additional variant testcase for P01407.
P01408_TC1,P01408,"""9
79 98 80 53 33 2 17 61 49""",79 98 80 53 33 2 17 61 49,True,Use basic array traversal. (problem P01408)
P01408_TC2,P01408,30 43 46 24 21 33 5 23,225,False,Additional variant testcase for P01408.
P01408_TC3,P01408,37 17 40 48 32 7 33 34 5,48,False,Additional variant testcase for P01408.
P01409_TC1,P01409,"""5
1 86 43 26 40""",1 86 43 26 40,True,Use basic array traversal. (problem P01409)
P01409_TC2,P01409,26 31 18 29 24 41 37 39,245,False,Additional variant testcase for P01409.
P01409_TC3,P01409,32 2 21 7 32 49 7 46 29,49,False,Additional variant testcase for P01409.
P01410_TC1,P01410,"""10
42 55 46 3 27 39 49 58 33 16""",42 55 46 3 27 39 49 58 33 16,True,Use basic array traversal. (problem P01410)
P01410_TC2,P01410,38 38 1 12 22 1 30 49,191,False,Additional variant testcase for P01410.
P01410_TC3,P01410,13 22 8 7 4 34 39 41 41,41,False,Additional variant testcase for P01410.
P01411_TC1,P01411,"""12
59 22 24 84 56 24 19 12 70 86 29 68""",59 22 24 84 56 24 19 12 70 86 29 68,True,Use basic array traversal. (problem P01411)
P01411_TC2,P01411,33 47 36 18 9 32 46 49,270,False,Additional variant testcase for P01411.
P01411_TC3,P01411,49 25 25 33 40 38 39 10 14,49,False,Additional variant testcase for P01411.
P01412_TC1,P01412,"""7
89 93 6 97 14 32 39""",89 93 6 97 14 32 39,True,Use basic array traversal. (problem P01412)
P01412_TC2,P01412,32 43 20 2 12 19 19 22,169,False,Additional variant testcase for P01412.
P01412_TC3,P01412,5 22 45 20 8 17 48 39 28,48,False,Additional variant testcase for P01412.
P01413_TC1,P01413,"""9
71 23 78 96 92 75 86 56 16""",71 23 78 96 92 75 86 56 16,True,Use basic array traversal. (problem P01413)
P01413_TC2,P01413,30 26 31 46 2 31 31 49,246,False,Additional variant testcase for P01413.
P01413_TC3,P01413,34 5 2 44 28 5 25 34 16,44,False,Additional variant testcase for P01413.
P01414_TC1,P01414,"""7
12 1 46 68 30 12 77""",12 1 46 68 30 12 77,True,Use basic array traversal. (problem P01414)
P01414_TC2,P01414,21 13 47 33 43 20 34 2,213,False,Additional variant testcase for P01414.
P01414_TC3,P01414,46 47 48 31 48 35 34 44 26,48,False,Additional variant testcase for P01414.
P01415_TC1,P01415,"""12
55 15 39 88 57 30 78 13 82 48 47 18""",55 15 39 88 57 30 78 13 82 48 47 18,True,Use basic array traversal. (problem P01415)
P01415_TC2,P01415,15 25 21 27 23 38 7 2,158,False,Additional variant testcase for P01415.
P01415_TC3,P01415,12 29 19 7 26 1 34 24 19,34,False,Additional variant testcase for P01415.
P01416_TC1,P01416,"""7
68 74 15 56 52 10 71""",68 74 15 56 52 10 71,True,Use basic array traversal. (problem P01416)
P01416_TC2,P01416,50 34 29 35 11 10 13 47,229,False,Additional variant testcase for P01416.
P01416_TC3,P01416,3 27 39 33 45 49 47 3 7,49,False,Additional variant testcase for P01416.
P01417_TC1,P01417,"""11
33 90 46 40 28 72 25 70 50 36 54""",33 90 46 40 28 72 25 70 50 36 54,True,Use basic array traversal. (problem P01417)
P01417_TC2,P01417,28 34 40 33 48 30 13 28,254,False,Additional variant testcase for P01417.
P01417_TC3,P01417,6 19 11 4 34 44 37 5 6,44,False,Additional variant testcase for P01417.
P01418_TC1,P01418,"""6
50 47 43 28 83 90""",50 47 43 28 83 90,True,Use basic array traversal. (problem P01418)
P01418_TC2,P01418,49 17 46 19 20 10 8 41,210,False,Additional variant testcase for P01418.
P01418_TC3,P01418,44 9 3 34 39 19 29 21 45,45,False,Additional variant testcase for P01418.
P01419_TC1,P01419,"""6
18 76 3 60 73 49""",18 76 3 60 73 49,True,Use basic array traversal. (problem P01419)
P01419_TC2,P01419,13 44 50 31 16 8 36 10,208,False,Additional variant testcase for P01419.
P01419_TC3,P01419,43 20 2 9 20 31 33 45 10,45,False,Additional variant testcase for P01419.
P01420_TC1,P01420,"""11
99 18 99 23 86 73 42 99 96 29 7""",99 18 99 23 86 73 42 99 96 29 7,True,Use basic array traversal. (problem P01420)
P01420_TC2,P01420,42 4 24 25 9 24 16 21,165,False,Additional variant testcase for P01420.
P01420_TC3,P01420,6 9 39 39 32 25 39 13 5,39,False,Additional variant testcase for P01420.
P01421_TC1,P01421,"""6
19 61 30 55 46 36""",19 61 30 55 46 36,True,Use basic array traversal. (problem P01421)
P01421_TC2,P01421,5 24 2 41 22 32 30 5,161,False,Additional variant testcase for P01421.
P01421_TC3,P01421,28 50 4 25 8 12 30 38 20,50,False,Additional variant testcase for P01421.
P01422_TC1,P01422,"""9
37 38 78 4 87 80 51 29 91""",37 38 78 4 87 80 51 29 91,True,Use basic array traversal. (problem P01422)
P01422_TC2,P01422,50 13 37 27 4 47 22 20,220,False,Additional variant testcase for P01422.
P01422_TC3,P01422,34 42 5 46 34 25 7 21 36,46,False,Additional variant testcase for P01422.
P01423_TC1,P01423,"""8
39 4 87 25 3 89 55 1""",39 4 87 25 3 89 55 1,True,Use basic array traversal. (problem P01423)
P01423_TC2,P01423,34 26 14 13 3 32 34 40,196,False,Additional variant testcase for P01423.
P01423_TC3,P01423,28 50 38 15 37 38 26 24 40,50,False,Additional variant testcase for P01423.
P01424_TC1,P01424,"""6
77 22 19 50 87 88""",77 22 19 50 87 88,True,Use basic array traversal. (problem P01424)
P01424_TC2,P01424,42 28 32 7 42 5 3 13,172,False,Additional variant testcase for P01424.
P01424_TC3,P01424,7 15 6 48 43 22 7 23 33,48,False,Additional variant testcase for P01424.
P01425_TC1,P01425,"""5
1 52 89 71 62""",1 52 89 71 62,True,Use basic array traversal. (problem P01425)
P01425_TC2,P01425,8 6 30 22 18 43 40 44,211,False,Additional variant testcase for P01425.
P01425_TC3,P01425,41 15 9 22 10 24 33 18 19,41,False,Additional variant testcase for P01425.
P01426_TC1,P01426,"""12
34 32 14 60 75 17 82 42 69 47 72 50""",34 32 14 60 75 17 82 42 69 47 72 50,True,Use basic array traversal. (problem P01426)
P01426_TC2,P01426,43 23 38 11 27 22 1 18,183,False,Additional variant testcase for P01426.
P01426_TC3,P01426,27 48 38 32 4 50 3 37 50,50,False,Additional variant testcase for P01426.
P01427_TC1,P01427,"""8
85 93 31 39 17 96 33 82""",85 93 31 39 17 96 33 82,True,Use basic array traversal. (problem P01427)
P01427_TC2,P01427,47 49 14 35 11 46 24 12,238,False,Additional variant testcase for P01427.
P01427_TC3,P01427,25 37 7 50 48 26 23 14 44,50,False,Additional variant testcase for P01427.
P01428_TC1,P01428,"""6
62 98 54 30 28 75""",62 98 54 30 28 75,True,Use basic array traversal. (problem P01428)
P01428_TC2,P01428,38 27 23 21 37 15 45 42,248,False,Additional variant testcase for P01428.
P01428_TC3,P01428,25 9 30 43 22 19 12 16 30,43,False,Additional variant testcase for P01428.
P01429_TC1,P01429,"""5
92 1 61 66 54""",92 1 61 66 54,True,Use basic array traversal. (problem P01429)
P01429_TC2,P01429,2 31 30 17 16 48 36 24,204,False,Additional variant testcase for P01429.
P01429_TC3,P01429,35 37 22 46 16 1 25 27 28,46,False,Additional variant testcase for P01429.
P01430_TC1,P01430,"""11
84 61 38 22 70 98 81 29 94 34 70""",84 61 38 22 70 98 81 29 94 34 70,True,Use basic array traversal. (problem P01430)
P01430_TC2,P01430,12 22 34 15 10 17 30 32,172,False,Additional variant testcase for P01430.
P01430_TC3,P01430,18 50 47 38 38 26 13 5 45,50,False,Additional variant testcase for P01430.
P01431_TC1,P01431,"""9
87 81 43 71 83 81 68 33 84""",87 81 43 71 83 81 68 33 84,True,Use basic array traversal. (problem P01431)
P01431_TC2,P01431,20 6 5 29 26 20 34 25,165,False,Additional variant testcase for P01431.
P01431_TC3,P01431,50 25 49 18 15 42 10 28 28,50,False,Additional variant testcase for P01431.
P01432_TC1,P01432,"""11
56 84 18 16 71 2 94 1 86 7 15""",56 84 18 16 71 2 94 1 86 7 15,True,Use basic array traversal. (problem P01432)
P01432_TC2,P01432,46 43 4 29 4 14 4 43,187,False,Additional variant testcase for P01432.
P01432_TC3,P01432,31 39 10 26 13 42 46 19 47,47,False,Additional variant testcase for P01432.
P01433_TC1,P01433,"""7
62 90 58 91 66 26 58""",62 90 58 91 66 26 58,True,Use basic array traversal. (problem P01433)
P01433_TC2,P01433,13 11 46 9 8 1 5 25,118,False,Additional variant testcase for P01433.
P01433_TC3,P01433,15 3 24 29 43 31 35 29 43,43,False,Additional variant testcase for P01433.
P01434_TC1,P01434,"""5
95 60 3 19 74""",95 60 3 19 74,True,Use basic array traversal. (problem P01434)
P01434_TC2,P01434,40 44 24 24 24 17 6 16,195,False,Additional variant testcase for P01434.
P01434_TC3,P01434,26 2 33 15 7 46 27 10 21,46,False,Additional variant testcase for P01434.
P01435_TC1,P01435,"""7
61 70 14 20 47 66 61""",61 70 14 20 47 66 61,True,Use basic array traversal. (problem P01435)
P01435_TC2,P01435,42 18 16 42 40 11 25 39,233,False,Additional variant testcase for P01435.
P01435_TC3,P01435,2 2 1 2 30 27 47 4 8,47,False,Additional variant testcase for P01435.
P01436_TC1,P01436,"""8
63 1 77 82 52 70 88 21""",63 1 77 82 52 70 88 21,True,Use basic array traversal. (problem P01436)
P01436_TC2,P01436,48 30 14 20 39 28 44 2,225,False,Additional variant testcase for P01436.
P01436_TC3,P01436,5 22 23 42 42 40 16 4 1,42,False,Additional variant testcase for P01436.
P01437_TC1,P01437,"""8
71 35 15 57 60 27 77 63""",71 35 15 57 60 27 77 63,True,Use basic array traversal. (problem P01437)
P01437_TC2,P01437,31 8 13 48 12 40 27 14,193,False,Additional variant testcase for P01437.
P01437_TC3,P01437,18 27 43 13 18 42 1 29 11,43,False,Additional variant testcase for P01437.
P01438_TC1,P01438,"""10
44 38 61 1 17 31 41 35 64 11""",44 38 61 1 17 31 41 35 64 11,True,Use basic array traversal. (problem P01438)
P01438_TC2,P01438,31 14 49 2 14 38 47 1,196,False,Additional variant testcase for P01438.
P01438_TC3,P01438,45 4 49 38 1 33 9 24 33,49,False,Additional variant testcase for P01438.
P01439_TC1,P01439,"""8
64 62 57 93 46 28 20 91""",64 62 57 93 46 28 20 91,True,Use basic array traversal. (problem P01439)
P01439_TC2,P01439,48 46 14 50 36 38 40 1,273,False,Additional variant testcase for P01439.
P01439_TC3,P01439,20 28 2 12 31 49 20 15 10,49,False,Additional variant testcase for P01439.
P01440_TC1,P01440,"""11
36 73 68 44 40 60 5 25 71 72 33""",36 73 68 44 40 60 5 25 71 72 33,True,Use basic array traversal. (problem P01440)
P01440_TC2,P01440,21 12 41 31 11 13 7 7,143,False,Additional variant testcase for P01440.
P01440_TC3,P01440,21 29 48 33 35 36 10 13 39,48,False,Additional variant testcase for P01440.
P01441_TC1,P01441,"""9
27 85 75 82 41 62 91 28 69""",27 85 75 82 41 62 91 28 69,True,Use basic array traversal. (problem P01441)
P01441_TC2,P01441,25 14 22 18 19 5 12 14,129,False,Additional variant testcase for P01441.
P01441_TC3,P01441,40 48 31 34 16 1 32 48 31,48,False,Additional variant testcase for P01441.
P01442_TC1,P01442,"""7
65 50 6 45 77 1 67""",65 50 6 45 77 1 67,True,Use basic array traversal. (problem P01442)
P01442_TC2,P01442,4 22 39 28 46 2 35 28,204,False,Additional variant testcase for P01442.
P01442_TC3,P01442,15 3 10 49 7 47 15 26 14,49,False,Additional variant testcase for P01442.
P01443_TC1,P01443,"""8
73 35 31 96 36 33 74 67""",73 35 31 96 36 33 74 67,True,Use basic array traversal. (problem P01443)
P01443_TC2,P01443,45 16 39 40 29 12 32 14,227,False,Additional variant testcase for P01443.
P01443_TC3,P01443,30 8 48 49 28 7 3 17 40,49,False,Additional variant testcase for P01443.
P01444_TC1,P01444,"""9
23 93 5 50 43 73 95 27 24""",23 93 5 50 43 73 95 27 24,True,Use basic array traversal. (problem P01444)
P01444_TC2,P01444,12 28 22 15 27 14 9 9,136,False,Additional variant testcase for P01444.
P01444_TC3,P01444,31 40 32 16 32 37 28 25 30,40,False,Additional variant testcase for P01444.
P01445_TC1,P01445,"""10
2 12 57 93 39 91 7 82 64 78""",2 12 57 93 39 91 7 82 64 78,True,Use basic array traversal. (problem P01445)
P01445_TC2,P01445,22 1 18 44 23 12 29 27,176,False,Additional variant testcase for P01445.
P01445_TC3,P01445,8 29 22 15 32 18 29 44 26,44,False,Additional variant testcase for P01445.
P01446_TC1,P01446,"""8
84 81 60 91 55 36 8 49""",84 81 60 91 55 36 8 49,True,Use basic array traversal. (problem P01446)
P01446_TC2,P01446,35 23 24 31 3 26 48 10,200,False,Additional variant testcase for P01446.
P01446_TC3,P01446,45 46 28 4 27 40 35 39 28,46,False,Additional variant testcase for P01446.
P01447_TC1,P01447,"""10
32 68 42 37 30 95 82 79 83 86""",32 68 42 37 30 95 82 79 83 86,True,Use basic array traversal. (problem P01447)
P01447_TC2,P01447,8 31 16 31 13 31 21 28,179,False,Additional variant testcase for P01447.
P01447_TC3,P01447,16 27 13 27 18 31 36 1 6,36,False,Additional variant testcase for P01447.
P01448_TC1,P01448,"""10
89 30 5 38 74 39 76 41 27 93""",89 30 5 38 74 39 76 41 27 93,True,Use basic array traversal. (problem P01448)
P01448_TC2,P01448,32 47 2 20 2 49 4 24,180,False,Additional variant testcase for P01448.
P01448_TC3,P01448,25 25 6 38 23 3 19 38 16,38,False,Additional variant testcase for P01448.
P01449_TC1,P01449,"""8
30 4 47 9 30 78 32 6""",30 4 47 9 30 78 32 6,True,Use basic array traversal. (problem P01449)
P01449_TC2,P01449,27 3 19 28 39 9 45 19,189,False,Additional variant testcase for P01449.
P01449_TC3,P01449,45 15 8 42 32 29 13 28 21,45,False,Additional variant testcase for P01449.
P01450_TC1,P01450,"""12
46 17 7 13 97 4 16 29 92 73 40 23""",46 17 7 13 97 4 16 29 92 73 40 23,True,Use basic array traversal. (problem P01450)
P01450_TC2,P01450,21 50 50 9 50 12 48 14,254,False,Additional variant testcase for P01450.
P01450_TC3,P01450,42 43 31 26 4 37 37 23 21,43,False,Additional variant testcase for P01450.
P01451_TC1,P01451,"""9
82 93 80 53 12 29 36 60 33""",33 60 36 29 12 53 80 93 82,True,Reverse the order of the elements. (problem P01451)
P01451_TC2,P01451,18 28 47 34 17 14 18 49,225,False,Additional variant testcase for P01451.
P01451_TC3,P01451,5 40 22 46 11 34 46 22 15,46,False,Additional variant testcase for P01451.
P01452_TC1,P01452,"""10
49 24 37 15 69 97 59 92 1 38""",38 1 92 59 97 69 15 37 24 49,True,Reverse the order of the elements. (problem P01452)
P01452_TC2,P01452,8 7 8 50 26 39 32 21,191,False,Additional variant testcase for P01452.
P01452_TC3,P01452,1 49 5 46 28 18 6 42 45,49,False,Additional variant testcase for P01452.
P01453_TC1,P01453,"""8
65 66 81 14 63 26 84 28""",28 84 26 63 14 81 66 65,True,Reverse the order of the elements. (problem P01453)
P01453_TC2,P01453,28 33 6 14 7 35 21 49,193,False,Additional variant testcase for P01453.
P01453_TC3,P01453,34 50 46 6 24 25 31 19 15,50,False,Additional variant testcase for P01453.
P01454_TC1,P01454,"""11
19 6 16 10 79 93 25 40 46 65 81""",81 65 46 40 25 93 79 10 16 6 19,True,Reverse the order of the elements. (problem P01454)
P01454_TC2,P01454,45 49 6 20 2 8 21 3,154,False,Additional variant testcase for P01454.
P01454_TC3,P01454,36 37 17 2 11 44 21 36 7,44,False,Additional variant testcase for P01454.
P01455_TC1,P01455,"""10
64 51 49 58 85 63 69 41 35 34""",34 35 41 69 63 85 58 49 51 64,True,Reverse the order of the elements. (problem P01455)
P01455_TC2,P01455,5 2 41 50 15 25 50 19,207,False,Additional variant testcase for P01455.
P01455_TC3,P01455,24 34 35 22 11 5 33 40 41,41,False,Additional variant testcase for P01455.
P01456_TC1,P01456,"""10
68 90 96 65 83 62 66 54 81 37""",37 81 54 66 62 83 65 96 90 68,True,Reverse the order of the elements. (problem P01456)
P01456_TC2,P01456,40 39 45 3 19 19 35 34,234,False,Additional variant testcase for P01456.
P01456_TC3,P01456,50 40 15 29 5 50 2 20 40,50,False,Additional variant testcase for P01456.
P01457_TC1,P01457,"""12
37 27 23 52 42 84 55 8 94 98 86 67""",67 86 98 94 8 55 84 42 52 23 27 37,True,Reverse the order of the elements. (problem P01457)
P01457_TC2,P01457,39 49 12 29 18 38 3 32,220,False,Additional variant testcase for P01457.
P01457_TC3,P01457,36 30 28 3 12 7 42 50 11,50,False,Additional variant testcase for P01457.
P01458_TC1,P01458,"""11
75 77 13 17 53 76 25 39 29 97 29""",29 97 29 39 25 76 53 17 13 77 75,True,Reverse the order of the elements. (problem P01458)
P01458_TC2,P01458,27 43 40 46 22 18 17 12,225,False,Additional variant testcase for P01458.
P01458_TC3,P01458,44 43 29 4 28 11 18 42 24,44,False,Additional variant testcase for P01458.
P01459_TC1,P01459,"""5
13 39 68 25 43""",43 25 68 39 13,True,Reverse the order of the elements. (problem P01459)
P01459_TC2,P01459,29 28 49 37 11 50 38 27,269,False,Additional variant testcase for P01459.
P01459_TC3,P01459,8 4 25 29 11 40 7 18 5,40,False,Additional variant testcase for P01459.
P01460_TC1,P01460,"""8
80 94 98 41 2 27 15 88""",88 15 27 2 41 98 94 80,True,Reverse the order of the elements. (problem P01460)
P01460_TC2,P01460,39 3 47 46 36 49 42 24,286,False,Additional variant testcase for P01460.
P01460_TC3,P01460,24 17 11 24 47 22 42 45 6,47,False,Additional variant testcase for P01460.
P01461_TC1,P01461,"""9
53 97 24 78 31 69 15 95 94""",94 95 15 69 31 78 24 97 53,True,Reverse the order of the elements. (problem P01461)
P01461_TC2,P01461,25 20 11 43 18 36 13 35,201,False,Additional variant testcase for P01461.
P01461_TC3,P01461,7 14 33 32 24 27 15 9 46,46,False,Additional variant testcase for P01461.
P01462_TC1,P01462,"""7
73 62 96 55 89 4 89""",89 4 89 55 96 62 73,True,Reverse the order of the elements. (problem P01462)
P01462_TC2,P01462,36 33 23 11 48 43 39 20,253,False,Additional variant testcase for P01462.
P01462_TC3,P01462,10 43 38 24 1 35 30 26 18,43,False,Additional variant testcase for P01462.
P01463_TC1,P01463,"""5
93 34 85 49 39""",39 49 85 34 93,True,Reverse the order of the elements. (problem P01463)
P01463_TC2,P01463,38 3 45 9 16 17 23 40,191,False,Additional variant testcase for P01463.
P01463_TC3,P01463,43 49 1 2 50 22 41 20 47,50,False,Additional variant testcase for P01463.
P01464_TC1,P01464,"""7
97 75 24 2 76 27 77""",77 27 76 2 24 75 97,True,Reverse the order of the elements. (problem P01464)
P01464_TC2,P01464,34 18 12 43 25 46 46 25,249,False,Additional variant testcase for P01464.
P01464_TC3,P01464,29 35 1 24 44 50 1 44 15,50,False,Additional variant testcase for P01464.
P01465_TC1,P01465,"""6
77 8 52 79 76 7""",7 76 79 52 8 77,True,Reverse the order of the elements. (problem P01465)
P01465_TC2,P01465,5 12 4 30 41 5 26 30,153,False,Additional variant testcase for P01465.
P01465_TC3,P01465,2 48 42 8 16 48 49 36 7,49,False,Additional variant testcase for P01465.
P01466_TC1,P01466,"""8
75 26 66 38 8 52 69 12""",12 69 52 8 38 66 26 75,True,Reverse the order of the elements. (problem P01466)
P01466_TC2,P01466,20 39 50 50 40 18 6 39,262,False,Additional variant testcase for P01466.
P01466_TC3,P01466,41 13 18 1 27 32 17 11 20,41,False,Additional variant testcase for P01466.
P01467_TC1,P01467,"""5
95 52 64 29 62""",62 29 64 52 95,True,Reverse the order of the elements. (problem P01467)
P01467_TC2,P01467,4 8 7 33 11 12 45 36,156,False,Additional variant testcase for P01467.
P01467_TC3,P01467,25 5 48 2 42 6 50 40 3,50,False,Additional variant testcase for P01467.
P01468_TC1,P01468,"""11
33 6 98 99 58 65 15 96 94 6 79""",79 6 94 96 15 65 58 99 98 6 33,True,Reverse the order of the elements. (problem P01468)
P01468_TC2,P01468,1 43 34 13 14 23 27 16,171,False,Additional variant testcase for P01468.
P01468_TC3,P01468,40 6 50 30 33 18 42 50 36,50,False,Additional variant testcase for P01468.
P01469_TC1,P01469,"""11
4 29 69 36 88 33 84 87 1 52 87""",87 52 1 87 84 33 88 36 69 29 4,True,Reverse the order of the elements. (problem P01469)
P01469_TC2,P01469,49 3 41 14 48 35 4 44,238,False,Additional variant testcase for P01469.
P01469_TC3,P01469,45 19 6 28 37 44 22 13 7,45,False,Additional variant testcase for P01469.
P01470_TC1,P01470,"""7
60 97 21 91 34 80 98""",98 80 34 91 21 97 60,True,Reverse the order of the elements. (problem P01470)
P01470_TC2,P01470,11 32 29 28 5 30 25 49,209,False,Additional variant testcase for P01470.
P01470_TC3,P01470,43 26 26 44 7 27 15 32 8,44,False,Additional variant testcase for P01470.
P01471_TC1,P01471,"""11
83 68 45 89 24 46 66 46 42 62 92""",92 62 42 46 66 46 24 89 45 68 83,True,Reverse the order of the elements. (problem P01471)
P01471_TC2,P01471,40 23 10 7 25 3 8 4,120,False,Additional variant testcase for P01471.
P01471_TC3,P01471,48 4 31 15 45 39 31 9 8,48,False,Additional variant testcase for P01471.
P01472_TC1,P01472,"""12
17 26 7 90 65 55 86 47 86 80 30 90""",90 30 80 86 47 86 55 65 90 7 26 17,True,Reverse the order of the elements. (problem P01472)
P01472_TC2,P01472,11 21 47 48 30 44 30 26,257,False,Additional variant testcase for P01472.
P01472_TC3,P01472,43 36 17 7 29 40 13 18 42,43,False,Additional variant testcase for P01472.
P01473_TC1,P01473,"""6
60 25 71 52 79 84""",84 79 52 71 25 60,True,Reverse the order of the elements. (problem P01473)
P01473_TC2,P01473,14 24 41 24 41 37 5 20,206,False,Additional variant testcase for P01473.
P01473_TC3,P01473,30 4 45 49 43 30 43 10 50,50,False,Additional variant testcase for P01473.
P01474_TC1,P01474,"""11
70 65 23 40 97 32 98 47 79 95 18""",18 95 79 47 98 32 97 40 23 65 70,True,Reverse the order of the elements. (problem P01474)
P01474_TC2,P01474,6 44 8 33 33 12 47 40,223,False,Additional variant testcase for P01474.
P01474_TC3,P01474,5 33 26 22 9 37 42 12 39,42,False,Additional variant testcase for P01474.
P01475_TC1,P01475,"""8
25 41 19 50 89 36 83 37""",37 83 36 89 50 19 41 25,True,Reverse the order of the elements. (problem P01475)
P01475_TC2,P01475,48 6 27 9 50 28 40 33,241,False,Additional variant testcase for P01475.
P01475_TC3,P01475,43 4 47 43 46 2 3 21 15,47,False,Additional variant testcase for P01475.
P01476_TC1,P01476,"""9
46 40 7 65 35 45 91 28 80""",80 28 91 45 35 65 7 40 46,True,Reverse the order of the elements. (problem P01476)
P01476_TC2,P01476,33 28 23 36 49 50 40 18,277,False,Additional variant testcase for P01476.
P01476_TC3,P01476,24 31 10 43 41 37 24 19 35,43,False,Additional variant testcase for P01476.
P01477_TC1,P01477,"""11
62 1 82 65 29 65 8 19 79 55 15""",15 55 79 19 8 65 29 65 82 1 62,True,Reverse the order of the elements. (problem P01477)
P01477_TC2,P01477,12 3 7 11 7 50 8 26,124,False,Additional variant testcase for P01477.
P01477_TC3,P01477,40 9 19 50 48 20 35 3 22,50,False,Additional variant testcase for P01477.
P01478_TC1,P01478,"""6
18 25 66 14 54 60""",60 54 14 66 25 18,True,Reverse the order of the elements. (problem P01478)
P01478_TC2,P01478,4 40 23 48 44 12 50 28,249,False,Additional variant testcase for P01478.
P01478_TC3,P01478,34 30 31 41 5 10 13 18 5,41,False,Additional variant testcase for P01478.
P01479_TC1,P01479,"""11
49 52 93 88 11 79 37 6 33 4 90""",90 4 33 6 37 79 11 88 93 52 49,True,Reverse the order of the elements. (problem P01479)
P01479_TC2,P01479,35 14 44 37 25 48 28 8,239,False,Additional variant testcase for P01479.
P01479_TC3,P01479,47 3 33 11 40 32 35 25 24,47,False,Additional variant testcase for P01479.
P01480_TC1,P01480,"""12
18 11 99 37 27 29 3 8 58 43 19 37""",37 19 43 58 8 3 29 27 37 99 11 18,True,Reverse the order of the elements. (problem P01480)
P01480_TC2,P01480,49 34 37 45 11 26 12 45,259,False,Additional variant testcase for P01480.
P01480_TC3,P01480,33 46 35 38 50 24 28 7 7,50,False,Additional variant testcase for P01480.
P01481_TC1,P01481,"""7
21 19 49 73 14 5 31""",31 5 14 73 49 19 21,True,Reverse the order of the elements. (problem P01481)
P01481_TC2,P01481,35 14 49 35 38 13 11 26,221,False,Additional variant testcase for P01481.
P01481_TC3,P01481,3 22 38 6 11 39 4 22 47,47,False,Additional variant testcase for P01481.
P01482_TC1,P01482,"""9
93 50 83 44 76 88 69 82 37""",37 82 69 88 76 44 83 50 93,True,Reverse the order of the elements. (problem P01482)
P01482_TC2,P01482,45 27 10 15 40 3 2 17,159,False,Additional variant testcase for P01482.
P01482_TC3,P01482,35 33 40 27 44 13 41 25 8,44,False,Additional variant testcase for P01482.
P01483_TC1,P01483,"""8
99 26 38 33 29 7 42 68""",68 42 7 29 33 38 26 99,True,Reverse the order of the elements. (problem P01483)
P01483_TC2,P01483,41 46 49 39 4 19 45 9,252,False,Additional variant testcase for P01483.
P01483_TC3,P01483,10 13 27 12 30 4 17 4 36,36,False,Additional variant testcase for P01483.
P01484_TC1,P01484,"""12
38 70 30 1 34 85 65 32 76 49 35 4""",4 35 49 76 32 65 85 34 1 30 70 38,True,Reverse the order of the elements. (problem P01484)
P01484_TC2,P01484,23 23 1 18 47 1 21 33,167,False,Additional variant testcase for P01484.
P01484_TC3,P01484,42 18 32 1 11 25 50 8 10,50,False,Additional variant testcase for P01484.
P01485_TC1,P01485,"""5
36 56 70 37 13""",13 37 70 56 36,True,Reverse the order of the elements. (problem P01485)
P01485_TC2,P01485,29 29 37 15 26 4 49 13,202,False,Additional variant testcase for P01485.
P01485_TC3,P01485,25 27 39 7 14 30 30 27 17,39,False,Additional variant testcase for P01485.
P01486_TC1,P01486,"""11
66 94 79 4 93 22 37 61 53 67 6""",6 67 53 61 37 22 93 4 79 94 66,True,Reverse the order of the elements. (problem P01486)
P01486_TC2,P01486,19 45 46 17 11 44 42 35,259,False,Additional variant testcase for P01486.
P01486_TC3,P01486,28 13 15 32 2 31 10 16 48,48,False,Additional variant testcase for P01486.
